"tab_code","表章項目","cat01_code","宿泊施設タイプ","cat02_code","宿泊者数","area_code","施設所在地","time_code","時間軸(年次、月次)","unit","value"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000000","2016年","人","373661140"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016001212","2016年12月","人","30128320"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016001111","2016年11月","人","30866610"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016001010","2016年10月","人","33315750"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000909","2016年9月","人","30928470"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000808","2016年8月","人","41143050"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000707","2016年7月","人","33472810"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000606","2016年6月","人","27890920"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000505","2016年5月","人","30273100"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000404","2016年4月","人","28911750"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000303","2016年3月","人","31920570"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000202","2016年2月","人","27728410"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2016000101","2016年1月","人","27081390"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000000","2015年","人","378773130"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015001212","2015年12月","人","30461850"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015001111","2015年11月","人","32242910"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015001010","2015年10月","人","34453060"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000909","2015年9月","人","32992510"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000808","2015年8月","人","41699430"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000707","2015年7月","人","33303410"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000606","2015年6月","人","28049460"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000505","2015年5月","人","32494560"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000404","2015年4月","人","28044940"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000303","2015年3月","人","32014820"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000202","2015年2月","人","26750840"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2015000101","2015年1月","人","26265360"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000000","2014年","人","354744790"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014001212","2014年12月","人","28461890"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014001111","2014年11月","人","31135650"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014001010","2014年10月","人","31122410"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000909","2014年9月","人","29668930"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000808","2014年8月","人","40098160"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000707","2014年7月","人","31026510"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000606","2014年6月","人","26567980"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000505","2014年5月","人","30245330"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000404","2014年4月","人","26630070"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000303","2014年3月","人","30597060"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000202","2014年2月","人","24336420"
"120","実宿泊者数","100","合計","120","実宿泊者数","00000","全国","2014000101","2014年1月","人","24854390"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000000","2016年","人","25311040"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016001212","2016年12月","人","1915120"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016001111","2016年11月","人","1658590"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016001010","2016年10月","人","2273310"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000909","2016年9月","人","2438360"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000808","2016年8月","人","2816990"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000707","2016年7月","人","2663080"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000606","2016年6月","人","2150320"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000505","2016年5月","人","1981430"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000404","2016年4月","人","1511670"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000303","2016年3月","人","1830970"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000202","2016年2月","人","2108170"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2016000101","2016年1月","人","1963030"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000000","2015年","人","24489010"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015001212","2015年12月","人","1850030"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015001111","2015年11月","人","1683310"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015001010","2015年10月","人","2330070"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000909","2015年9月","人","2433530"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000808","2015年8月","人","2846400"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000707","2015年7月","人","2640510"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000606","2015年6月","人","2089450"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000505","2015年5月","人","1985530"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000404","2015年4月","人","1329100"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000303","2015年3月","人","1723330"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000202","2015年2月","人","1883680"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2015000101","2015年1月","人","1694080"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000000","2014年","人","23180050"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014001212","2014年12月","人","1660190"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014001111","2014年11月","人","1603560"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014001010","2014年10月","人","2095340"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000909","2014年9月","人","2268320"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000808","2014年8月","人","2715040"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000707","2014年7月","人","2493480"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000606","2014年6月","人","2022870"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000505","2014年5月","人","1827330"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000404","2014年4月","人","1250750"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000303","2014年3月","人","1728600"
"120","実宿泊者数","100","合計","120","実宿泊者数","01000","北海道","2014000202","2014年2月","人","1791520"
